keep_image,remove_image,distance
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-243.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-244.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-346.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-348.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-378.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-430.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-386.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-405.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-396.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-471.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-467.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-469.png,0
G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-509.png,G:\Ai-CDD\tb_class_update\TB_Chest_Radiography_Database\Tuberculosis\Tuberculosis-510.png,0
